mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
0,31,4,WN,727,SMF,404,17.83,80,76
6,24,4,US,942,SFO,2521,22,326,-4
10,1,6,US,961,SFO,2521,8.25,318,-12
7,23,6,US,605,ORD,1515,15.42,229,-12
1,10,0,OO,5826,ORD,67,10.5,48,21
5,13,5,OH,5046,JFK,508,20.17,145,36
0,11,5,OH,5508,JFK,187,10.92,79,34
3,7,1,UA,688,ORD,733,16,139,NA
1,19,2,US,202,SJC,621,6.25,119,-2
5,2,1,OO,6519,SJC,308,18.08,82,-25
2,28,5,UA,679,ORD,1723,16.5,265,31
0,4,5,AA,363,LGA,733,20,150,2
11,19,5,AA,2354,ORD,1197,16.83,180,53
2,20,4,WN,817,SFO,337,9.83,85,31
10,5,3,AA,1448,ORD,612,10.25,104,6
6,16,3,OO,6057,ORD,1352,9.92,212,-16
0,16,3,WN,1489,SJC,621,18.17,110,1
5,15,0,WN,2296,SMF,1790,7,235,-7
5,27,5,AA,867,ORD,888,21.08,145,111
6,26,6,UA,669,LGA,733,7,143,-13
4,20,2,UA,224,SFO,2419,23.25,307,9
11,4,4,US,178,SFO,414,7,87,-9
1,1,5,UA,8,SFO,2586,9.42,324,NA
1,2,6,AA,406,ORD,647,10.75,110,35
11,19,5,OO,5655,SFO,86,9.82,45,24
3,9,3,AA,407,ORD,258,7.25,65,NA
2,20,4,AA,133,JFK,2475,16.08,380,35
2,1,6,UA,1616,ORD,1005,21.17,153,-4
8,6,6,AA,1253,ORD,258,21.42,65,-16
6,13,0,UA,1597,ORD,1515,17.62,231,45
8,12,5,OO,6075,ORD,1249,9.9,200,-3
11,12,5,OO,6108,SFO,77,11.23,43,36
9,3,5,AA,6,OGG,3711,17,420,0
8,4,4,UA,317,ORD,1829,15.52,273,-12
4,31,6,AA,392,ORD,733,7.5,125,-13
4,18,0,OO,5551,SFO,86,7.43,42,6
3,8,2,OO,6043,ORD,416,19.75,88,301
2,19,3,AA,1087,ORD,837,20.17,140,55
10,30,0,UA,211,ORD,925,12,174,-3
9,1,3,B6,1317,JFK,228,22.5,87,7
3,4,5,AA,1323,JFK,740,8.67,170,NA
8,8,1,UA,470,ORD,678,21.22,116,39
6,30,3,WN,464,SJC,342,12.67,75,22
8,20,6,OO,6509,TUS,451,8.57,91,-11
4,14,3,WN,3577,SFO,337,21.67,80,-16
9,18,6,AA,1184,ORD,719,11.67,135,6
1,28,4,WN,2899,SJC,333,8.92,70,-2
2,1,6,UA,835,LGA,733,8,159,NA
5,7,6,UA,109,ORD,1745,9.97,258,69
7,6,3,B6,20,JFK,264,9.42,88,4
11,9,2,AA,557,ORD,1745,16.58,280,7
5,7,6,HA,315,OGG,100,11.08,34,80
5,28,6,UA,245,ORD,888,9,155,35
6,14,1,UA,188,SFO,2521,22.33,332,-21
3,5,6,UA,72,SFO,372,17.55,88,-12
7,4,1,UA,111,ORD,1745,11.53,251,101
1,6,3,AA,1135,LGA,764,7.75,150,-9
4,9,5,OO,6022,ORD,235,11.08,74,-12
3,25,5,OO,6760,ORD,286,10.75,78,23
5,14,6,WN,2754,SJC,386,9.17,85,-9
8,2,2,UA,820,SFO,679,13.08,128,23
6,20,0,B6,709,JFK,1597,6,224,-12
4,12,1,WN,210,SMF,397,18.17,80,71
10,30,0,AA,1339,ORD,1723,19.25,265,NA
2,14,5,UA,929,ORD,1739,15.38,266,54
5,27,5,UA,155,ORD,1846,19.92,270,63
1,18,1,WN,1350,SMF,404,7.92,85,43
7,29,5,WN,1041,SFO,414,9.67,90,68
0,17,4,OH,5543,LGA,585,13.47,147,21
11,2,2,US,3,SMF,647,6,109,-12
8,14,0,OO,5796,SFO,153,20.13,53,5
0,28,1,AA,889,ORD,1745,18.25,270,78
2,31,1,OO,6476,ORD,264,15.83,81,NA
9,25,6,AA,346,ORD,733,19.5,135,9
8,12,5,WN,1008,TUS,321,7.08,60,-12
1,11,1,UA,618,ORD,612,15,106,-1
11,16,2,AA,1855,LGA,887,8.33,175,8
5,20,5,UA,498,ORD,843,20.75,132,96
9,8,3,WN,266,TUS,451,12.58,95,-19
3,24,4,US,2187,LGA,214,19,78,-18
7,28,4,B6,102,JFK,301,7.92,87,16
0,20,0,UA,341,ORD,416,9.75,89,-6
9,31,5,B6,1105,JFK,426,12.5,105,-17
3,18,5,UA,515,ORD,1781,20.33,269,113
6,14,1,OO,5807,ORD,911,9.48,147,-12
5,29,0,AA,1555,JFK,1090,15.92,190,137
1,9,6,UA,901,SFO,447,18.3,87,-2
0,3,4,OO,5674,SFO,199,15.25,69,NA
7,12,2,B6,917,JFK,740,16.42,166,148
3,11,5,OO,5481,SFO,199,8.17,65,-8
8,16,2,OO,6644,TUS,639,6,114,0
8,4,4,UA,598,SFO,967,7.6,153,10
8,11,4,OO,5703,SJC,234,16.95,62,64
10,5,3,OO,4818,SFO,599,15.5,112,26
5,20,5,US,165,SJC,386,9.47,86,115
6,8,2,OO,6415,SFO,316,21.42,73,31
6,17,4,OH,5559,JFK,289,16.42,108,32
7,11,1,UA,770,SFO,967,12.78,158,-19
10,30,0,WN,3980,SFO,414,6.75,85,-1
8,21,0,OH,6265,JFK,760,21.48,162,-21
6,7,1,OH,5523,LGA,431,8,104,36
3,6,0,B6,851,JFK,1074,6.25,184,17
8,21,0,OO,6567,ORD,911,20.65,152,-18
4,2,5,US,605,ORD,1515,15.33,236,31
4,3,6,AA,2242,SFO,337,16.17,85,3
9,7,2,AA,1765,ORD,258,19.25,65,16
10,11,2,OH,6659,LGA,431,6.5,110,-20
5,22,0,AA,874,ORD,867,19,140,65
2,30,0,UA,515,ORD,1781,20.5,269,131
9,1,3,OH,6626,JFK,382,19.17,125,1
11,21,0,UA,128,ORD,678,6.05,122,101
9,28,2,AA,1076,SJC,342,7.75,80,NA
9,18,6,UA,1210,ORD,865,13.03,141,-22
9,21,2,OO,6123,ORD,286,13.18,76,-16
0,18,5,UA,38,SFO,447,7.75,87,1
0,29,2,OH,5511,LGA,823,21,169,22
11,20,6,WN,861,TUS,365,14.75,75,48
11,28,0,OO,5893,ORD,1437,9.7,236,28
5,23,1,UA,912,ORD,473,15.97,97,-4
3,8,2,WN,66,SMF,1790,12.5,230,-14
0,31,4,OH,5021,JFK,426,8.5,124,-19
3,16,3,WN,3767,SMF,480,17.83,85,18
9,17,5,US,1768,ORD,599,12.5,113,9
0,2,3,OH,5667,JFK,289,15.5,107,25
6,17,4,OH,5360,JFK,106,14.42,75,40
6,7,1,UA,1200,SFO,679,6.13,123,-7
11,17,3,OO,6336,SFO,192,7.98,58,-2
8,28,0,AA,179,JFK,2586,9,380,-30
9,31,5,WN,756,SMF,358,6.5,70,-6
6,21,1,AA,1058,ORD,1005,19.5,155,141
4,15,4,WN,448,SJC,188,11.5,55,67
2,3,1,AA,745,LGA,1389,13.5,240,11
2,7,5,UA,19,JFK,2586,19.97,404,64
0,4,5,WN,764,SMF,480,7.58,85,NA
5,18,3,US,640,SJC,621,18.92,113,30
8,6,6,AA,2337,ORD,802,15.83,145,28
11,23,2,WN,991,SMF,373,19.42,80,134
11,14,0,WN,1483,SMF,389,19.92,75,6
0,8,2,AA,2331,ORD,1652,18.08,255,191
9,15,3,AA,496,ORD,612,6.42,100,3
10,5,3,OO,5829,ORD,67,17.13,47,-6
11,19,5,OH,6619,LGA,647,14.67,145,NA
11,29,1,OO,6015,ORD,557,9.8,117,27
0,26,6,OH,5465,JFK,340,11.08,109,-8
1,29,5,US,1881,ORD,599,18,127,-9
7,3,0,OO,5855,ORD,462,12.53,98,42
7,17,0,UA,598,SFO,967,7.85,153,357
0,30,3,OH,5605,JFK,213,7,93,-6
4,12,1,OH,5059,JFK,264,13.75,96,-16
3,3,4,WN,3582,SFO,337,8.33,85,-8
1,9,6,OO,5525,SFO,86,13,43,47
1,27,3,B6,39,JFK,1028,17,184,43
8,16,2,US,2189,LGA,214,20,78,-10
7,24,0,B6,112,JFK,301,22.92,91,31
7,22,5,UA,253,ORD,888,18.68,161,42
2,21,5,AA,2340,ORD,867,13.92,140,NA
7,6,3,AA,1904,ORD,1197,18.08,180,-7
3,26,6,AA,1438,ORD,409,18.58,85,77
5,19,4,UA,645,ORD,1726,17.92,256,44
6,9,3,US,1571,ORD,678,16.42,128,24
6,6,0,UA,567,SFO,372,20.4,93,69
2,19,3,UA,492,ORD,647,13.5,115,10
4,28,3,UA,119,SFO,337,16.32,84,-6
9,27,1,OH,6493,LGA,292,15.25,98,2
3,3,4,B6,470,SJC,2689,20.67,324,-12
3,16,3,UA,2,ORD,599,6.35,109,-10
7,14,4,US,17,JFK,2153,17.98,339,282
4,5,1,OH,5200,JFK,144,19.08,96,19
11,30,2,B6,265,SMF,387,19.5,80,70
10,11,2,B6,49,JFK,944,13.33,170,0
4,19,1,WN,2188,SFO,337,13.17,80,-13
0,9,3,AA,745,LGA,1389,13.5,245,NA
9,19,0,AA,1339,ORD,1723,17.83,260,-1
4,15,4,AA,16,SFO,2586,11.33,340,23
5,18,3,B6,112,JFK,301,22.92,91,18
3,21,1,UA,149,ORD,1846,15.08,266,94
6,8,2,AA,1639,JFK,1597,19,245,123
5,9,1,AA,2317,ORD,802,10.83,140,100
3,30,3,UA,143,ORD,1846,11.55,277,-1
11,23,2,AA,1673,ORD,334,22,80,33
4,3,6,OO,4006,SFO,599,7.58,110,17
3,30,3,US,1848,ORD,599,9.55,117,294
10,19,3,OO,5815,ORD,196,17.33,61,-8
5,16,1,B6,907,JFK,740,9.5,166,47
8,11,4,US,1005,ORD,678,9.92,124,66
1,6,3,UA,893,JFK,2586,8.5,403,10
4,23,5,WN,1517,SJC,333,12.75,70,68
9,23,4,WN,860,TUS,365,15.25,75,17
5,24,2,B6,169,JFK,2569,8.67,370,-2
9,20,1,OO,6059,ORD,738,10.85,131,-13
1,4,1,AA,117,JFK,2475,14.5,370,33
9,17,5,AA,2463,ORD,403,7.5,85,-11
0,19,6,AA,1021,ORD,1515,8.58,240,59
7,12,2,OO,5985,ORD,323,19.67,80,18
5,30,1,UA,683,LGA,733,14.08,154,-10
1,12,2,OO,6028,ORD,109,7.45,54,4
6,18,5,UA,314,ORD,412,21.63,86,83
7,1,5,WN,1802,SJC,333,21.83,70,8
1,2,6,UA,540,ORD,867,18.75,139,35
1,8,5,UA,290,SMF,2358,8,292,-27
0,1,2,US,1433,LGA,544,6.58,119,28
5,7,6,AA,1622,SJC,342,16,75,72
5,15,0,OO,6693,ORD,1060,10.02,172,49
9,12,0,WN,866,SJC,308,18.75,75,30
8,16,2,US,1881,ORD,599,17.75,116,4
7,17,0,UA,931,SFO,337,19.3,97,31
3,28,1,UA,676,ORD,733,10.08,128,196
7,7,4,OO,3881,TUS,601,7.58,108,54
11,23,2,WN,1490,TUS,451,20.5,105,69
3,26,6,OH,5226,JFK,740,16.75,181,17
4,12,1,UA,1463,ORD,1515,11.92,235,16
11,31,3,OO,6252,SFO,1482,12.05,200,112
10,1,6,OH,6533,JFK,184,9.08,85,-40
2,22,6,UA,914,SFO,2419,7.92,300,36
6,30,3,AA,1659,ORD,403,21.67,90,-15
11,24,3,OO,4774,SFO,599,7.5,110,-9
7,4,1,B6,263,SMF,387,10.83,83,575
9,13,1,OO,5853,ORD,196,12.8,61,-7
4,23,5,US,397,SMF,397,14,82,65
2,12,3,B6,837,JFK,1028,15,175,65
11,17,3,HA,555,OGG,100,20.92,34,-11
0,14,1,B6,106,TUS,2136,23.98,260,-5
4,23,5,B6,377,LGA,1076,13.33,179,-12
6,31,4,AA,1753,ORD,258,15.75,70,54
10,4,2,B6,74,JFK,267,15.48,87,-28
8,4,4,OO,3912,SFO,599,13,108,-9
6,30,3,UA,847,LGA,229,19.22,92,28
10,17,1,AA,1677,ORD,1726,18.67,260,-12
7,12,2,B6,908,ORD,740,11.92,146,139
0,11,5,UA,292,SFO,2445,13.25,302,40
6,18,5,AA,2455,ORD,1440,7.67,210,18
3,6,0,UA,218,SFO,2419,9.95,313,-14
8,8,1,OO,3908,SFO,599,10.08,110,31
3,28,1,WN,430,SMF,480,9.42,85,-3
0,20,0,B6,1610,JFK,274,22.83,90,47
6,12,6,OH,5348,ORD,264,9.5,79,19
7,8,5,US,397,SMF,397,14,83,-2
9,2,4,UA,102,SFO,1846,11.82,256,-4
2,22,6,OO,5564,SMF,86,20.92,45,-11
6,27,0,OO,6019,ORD,462,17.48,99,30
7,29,5,WN,991,SMF,389,16.33,75,1
5,29,0,AA,568,ORD,1182,6.75,175,0
11,31,3,B6,65,JFK,1005,11,182,20
1,11,1,WN,285,SMF,389,17.42,75,-5
2,14,5,UA,498,ORD,837,14.3,146,31
2,2,0,OO,5447,SFO,158,10,62,2
10,2,0,AA,1374,ORD,1197,14.25,185,-7
3,9,3,UA,394,ORD,137,13.5,54,-11
9,31,5,OO,5833,TUS,639,9.88,114,14
5,7,6,WN,1723,SMF,373,13.83,85,-7
9,31,5,OO,5921,ORD,557,8.2,113,-15
0,19,6,UA,36,OGG,2338,22.5,285,268
0,17,4,WN,1048,SJC,569,8.58,110,-11
10,8,6,WN,2567,SJC,308,7.42,75,2
8,28,0,WN,836,TUS,365,7,75,-8
3,25,5,UA,182,ORD,606,13.33,120,127
7,10,0,UA,275,ORD,403,16.85,90,51
11,1,1,B6,47,JFK,1069,19.58,208,92
0,15,2,OO,6292,SFO,192,18.53,58,83
11,30,2,HA,315,OGG,100,11.08,34,4
1,6,3,AA,353,LGA,733,19.48,160,146
8,19,5,WN,1144,SFO,337,17.08,85,-11
0,13,0,B6,91,JFK,2576,15.17,390,-41
7,11,1,AA,360,ORD,733,15.33,135,NA
0,16,3,UA,470,ORD,678,20.93,116,73
11,15,1,UA,254,ORD,316,21.88,75,24
0,26,6,B6,641,JFK,2586,8,390,48
5,29,0,AA,496,ORD,612,6.5,105,-7
1,8,5,OO,5447,SFO,158,9.83,62,26
6,1,2,AA,1998,SJC,1438,11,210,60
1,14,4,HA,180,OGG,84,13,31,2
11,29,1,UA,470,ORD,678,21.4,117,-11
0,8,2,B6,197,JFK,2248,8.92,363,-9
11,2,2,WN,3232,SFO,447,11.58,90,NA
6,1,2,UA,518,ORD,412,16.3,86,12
9,6,1,B6,1103,JFK,426,8,110,-5
1,9,6,B6,8,JFK,301,15.08,80,1
8,12,5,OO,5448,SFO,191,7.97,67,-10
5,6,5,UA,265,ORD,1249,9.85,200,81
9,19,0,WN,1405,SJC,417,7.92,85,-13
9,15,3,OO,5829,ORD,67,17.15,51,43
8,3,3,UA,410,SMF,910,6.02,134,8
5,13,5,UA,8,SFO,2586,9.3,342,-11
9,30,4,AA,1472,SFO,1846,14.08,250,36
6,16,3,UA,725,ORD,802,20.58,136,-3
4,7,3,WN,1916,SMF,397,15.92,75,-5
7,11,1,B6,123,JFK,944,13.08,163,45
1,26,2,UA,33,JFK,2475,20.42,393,83
7,15,5,OH,5269,LGA,292,19.5,102,63
8,21,0,WN,1151,SJC,296,18.33,60,-1
10,7,5,UA,931,SFO,337,19.42,95,17
5,4,3,OH,5360,LGA,1011,9.08,180,25
0,19,6,UA,1497,ORD,1440,17.98,232,-6
9,28,2,WN,811,SJC,342,12.83,75,4
3,29,2,OO,5946,ORD,588,15.42,111,19
1,9,6,UA,188,SFO,2521,22.33,320,-21
5,9,1,AA,779,ORD,1723,10.33,240,105
4,26,1,US,2136,LGA,185,17,83,24
0,23,3,UA,936,SFO,2419,9.07,307,NA
7,16,6,AA,392,ORD,733,7.5,125,-7
11,26,5,OO,5759,SFO,412,20.28,114,3
8,19,5,OO,5937,ORD,160,14.9,52,-14
10,24,1,UA,275,ORD,403,17.25,96,-7
6,26,6,OH,5469,JFK,740,16.75,180,23
11,19,5,B6,43,JFK,944,20,192,NA
0,15,2,UA,514,ORD,865,18.32,142,-16
0,21,1,AA,782,ORD,1012,19.83,160,176
3,7,1,OO,5452,SFO,77,19.42,42,12
4,12,1,OH,5523,LGA,431,8,116,-1
3,1,2,OH,5673,LGA,641,11,151,-31
6,4,5,AA,333,LGA,733,13.42,150,-23
7,31,0,AA,1622,SJC,342,16,75,17
3,7,1,AA,1,JFK,2475,9,365,26
5,9,1,AA,1957,SFO,337,20.25,85,25
10,15,6,UA,8,SFO,2586,9.45,343,159
8,29,1,UA,1512,SFO,651,10.68,114,2
8,10,3,OO,5566,SFO,158,11.73,66,28
1,12,2,UA,650,ORD,528,19.35,102,NA
0,27,0,AA,1733,ORD,1440,19.42,225,21
9,27,1,OO,5478,SFO,250,11.97,78,104
6,29,2,OH,5079,ORD,264,10.17,74,1
5,22,0,WN,2451,SJC,1838,7.67,245,-15
0,29,2,AA,366,ORD,733,14.25,135,NA
1,19,2,AA,398,ORD,733,6,120,NA
2,19,3,AA,1403,ORD,585,15.25,110,103
5,23,1,AA,874,ORD,867,19,140,92
10,7,5,US,1881,ORD,599,18.5,112,19
0,6,0,US,2122,LGA,185,10,75,-29
4,18,0,AA,1247,ORD,1745,11,255,-20
7,17,0,US,728,SFO,2521,13,331,-18
8,3,3,UA,139,ORD,1846,9.92,275,-9
3,25,5,UA,334,ORD,296,19.5,72,NA
6,13,0,WN,3398,SJC,417,20.25,80,2
7,17,0,HA,40,OGG,2562,15.08,310,29
8,6,6,UA,1236,ORD,622,13.83,113,44
1,11,1,AA,1757,LGA,887,12.92,170,56
6,2,3,UA,677,LGA,733,11,156,-27
8,10,3,OO,4014,ORD,1249,13.42,216,-13
1,22,5,OH,5394,LGA,641,20.5,145,NA
6,7,1,B6,1018,JFK,187,15.92,79,36
11,14,0,AA,16,SFO,2586,11.83,330,97
7,1,5,OO,5915,ORD,299,6.42,75,49
1,13,3,OO,5571,SFO,262,8.68,79,22
6,3,4,UA,35,SFO,2338,8.85,311,-21
6,31,4,US,2134,LGA,185,16,71,14
5,6,5,AA,1639,JFK,1597,19,245,81
6,30,3,OO,6456,SFO,316,9.3,73,-4
5,11,3,AA,1358,ORD,867,20.67,135,60
6,19,6,UA,121,ORD,1745,12.43,254,41
6,20,0,AA,371,LGA,733,20.25,150,102
4,14,3,UA,1550,SFO,414,17.75,91,-4
4,3,6,UA,1234,ORD,783,18.58,131,15
9,2,4,WN,300,SJC,569,11.83,105,-13
5,9,1,OO,5978,ORD,978,20.75,152,70
4,16,5,WN,3232,TUS,451,8.83,90,0
0,27,0,UA,1255,ORD,1739,17.33,266,48
4,20,2,UA,405,LGA,1619,10.37,264,75
4,24,6,B6,146,JFK,301,13.17,82,44
6,3,4,OO,5899,ORD,122,13.22,50,-6
7,3,0,OO,4097,ORD,264,13.78,73,-3
9,6,1,OO,6406,SFO,451,10.65,95,34
7,15,5,UA,922,ORD,589,6.03,107,-8
2,9,0,OH,5551,LGA,585,11.92,148,22
0,5,6,UA,482,SFO,967,18.08,144,136
5,26,4,OO,3908,SFO,599,10.12,104,56
2,16,0,OO,6096,ORD,316,7.83,74,3
4,4,0,AA,333,LGA,733,13.42,150,-13
9,18,6,AA,2268,ORD,867,12.25,130,12
3,21,1,WN,2807,SMF,373,16.42,80,8
1,1,5,OO,6402,SFO,451,16.23,93,0
10,4,2,UA,677,LGA,733,11,159,-30
2,17,1,OO,4008,SMF,532,16.22,96,NA
9,15,3,WN,1205,SMF,389,11.33,75,-6
5,10,2,B6,263,SMF,387,10.83,83,91
11,7,0,OO,5496,SFO,191,22.5,61,50
2,18,2,OO,5496,SFO,216,22.92,66,NA
0,9,3,UA,194,ORD,412,9.28,85,-6
6,20,0,OH,5287,JFK,1028,20.08,195,NA
5,27,5,B6,155,JFK,944,18.92,153,71
9,14,2,AA,282,TUS,813,10.58,130,9
4,28,3,AA,2223,LGA,887,15.92,170,26
5,10,2,AA,413,ORD,1726,11.67,245,3
6,10,4,AA,1513,ORD,888,18.67,160,125
3,10,4,WN,3402,SJC,1838,13.33,245,40
4,8,4,UA,588,SJC,948,10.65,149,22
6,9,3,B6,37,JFK,1028,7.92,173,50
5,28,6,AA,294,ORD,1197,11.08,183,-17
10,16,0,B6,229,SJC,324,7,75,-7
3,24,4,OO,6041,SFO,421,9.45,81,20
8,30,2,OO,6747,SMF,86,11,43,-7
1,13,3,UA,520,ORD,783,6.57,122,145
4,21,3,UA,562,SFO,550,13.93,107,30
7,2,6,AA,2274,ORD,1197,15.83,190,-21
9,9,4,AA,1787,JFK,1005,15.5,175,9
8,14,0,OO,6023,ORD,491,16.33,102,170
6,21,1,UA,722,ORD,589,15.85,117,-19
0,8,2,OO,5905,ORD,109,16.77,54,77
10,30,0,UA,892,SFO,2586,10.47,343,200
2,24,1,US,2126,LGA,185,12,70,-15
1,7,4,UA,466,SFO,967,16.17,150,-10
3,16,3,AA,2482,ORD,258,10.67,65,13
5,5,4,OO,5802,ORD,323,14.32,80,64
11,21,0,B6,600,JFK,274,9.58,86,23
11,21,0,OO,6075,ORD,1249,10.08,210,27
0,23,3,AA,1174,SJC,1829,12.83,265,88
1,22,5,US,2183,LGA,214,17,82,-12
6,2,3,UA,544,SFO,550,17.42,101,-18
11,6,6,US,29,ORD,1440,10.67,235,-18
4,30,5,WN,2497,SFO,447,18,85,27
4,8,4,HA,19,SMF,2462,8.75,315,4
4,18,0,AA,408,ORD,678,20.67,110,10
1,8,5,WN,3836,SJC,342,18.83,75,45
9,15,3,B6,68,JFK,209,9.33,75,-21
4,28,3,AA,1145,ORD,1249,11.42,195,15
6,18,5,UA,790,SFO,2139,11.17,295,6
2,30,0,UA,745,LGA,1619,14.17,264,26
4,4,0,UA,1137,SFO,337,17.1,84,29
0,24,4,AA,1323,JFK,740,8.58,170,-17
6,7,1,B6,359,JFK,2465,18.67,371,95
0,27,0,AA,20,SFO,2586,15.5,316,36
4,23,5,OO,6139,SFO,896,14.85,141,35
0,1,2,US,323,ORD,1515,8.48,241,51
8,20,6,B6,1402,SFO,1504,8.58,208,-18
6,7,1,AA,442,SFO,2585,11.92,335,-10
7,24,0,AA,1329,LGA,950,18.92,170,0
11,29,1,OO,5738,SFO,462,21.42,124,-17
11,15,1,OH,6758,JFK,187,13.98,80,21
5,23,1,WN,2175,SMF,480,10.33,90,1
2,19,3,US,1571,ORD,678,16.42,132,208
6,11,5,OO,5817,ORD,196,21.17,60,-10
0,26,6,AA,1929,SFO,337,7.83,85,-11
4,10,6,US,15,JFK,2153,6.5,337,1
4,18,0,AA,1344,TUS,813,11,130,37
6,30,3,UA,1567,ORD,1515,19.93,231,-3
9,11,6,WN,2206,SJC,333,7.67,75,-10
6,28,1,AA,2260,SFO,2585,6.17,340,18
5,19,4,OH,5269,LGA,292,19.5,102,48
8,9,2,OH,6871,JFK,1417,19.5,254,NA
1,4,1,B6,641,JFK,2586,8,390,21
8,15,1,AA,593,ORD,1440,16.25,225,-24
8,28,0,WN,588,SFO,447,8.75,85,17
0,27,0,UA,863,ORD,1846,18.5,277,30
2,26,3,US,2183,LGA,214,17,82,-9
9,10,5,WN,2668,SMF,605,13.17,115,26
6,14,1,OH,5594,LGA,544,17.25,134,71
1,4,1,AA,779,ORD,1723,10.33,265,40
1,15,5,WN,615,SJC,308,12.58,70,-4
7,10,0,AA,867,ORD,888,21.08,145,-4
11,15,1,AA,382,ORD,733,9.83,130,NA
3,6,0,AA,1750,ORD,1005,19.92,150,8
6,23,3,UA,818,ORD,719,20.98,129,185
7,13,3,UA,745,LGA,1619,14.17,259,-5
7,23,6,B6,20,JFK,264,9.42,88,-24
6,31,4,B6,185,JFK,2446,18.67,371,-44
1,2,6,UA,381,ORD,1781,10.17,272,31
11,24,3,WN,1677,SMF,479,16.25,90,97
9,8,3,WN,1011,SJC,308,17.42,75,-7
11,7,0,OO,6189,ORD,522,15.8,107,19
9,12,0,WN,347,SMF,389,15.08,75,9
8,29,1,UA,134,SFO,1846,8.88,246,12
7,19,2,WN,3573,TUS,451,15.33,90,1
4,3,6,UA,371,ORD,1739,17.5,259,-7
9,12,0,AA,2331,ORD,802,14.17,145,-11
6,2,3,UA,1524,SFO,414,16.05,94,37
11,2,2,AA,1918,ORD,719,18.92,124,44
9,28,2,UA,1560,ORD,1012,9.35,155,-25
6,13,0,B6,91,JFK,2576,15.92,373,122
5,14,6,AA,1331,ORD,1671,9.92,245,91
9,9,4,OO,5851,ORD,522,8.47,107,-13
4,23,5,OH,5545,JFK,589,13.58,135,-1
10,21,5,AA,1103,ORD,888,7.42,155,1
7,2,6,OH,5469,JFK,740,16.75,180,NA
3,3,4,WN,3839,SMF,480,16.67,85,-4
3,16,3,B6,19,JFK,1069,8.17,190,-42
2,19,3,AA,1709,LGA,1097,20.33,190,220
6,14,1,UA,9,JFK,2586,21.17,413,NA
6,5,6,OH,5791,LGA,722,9.83,157,48
0,5,6,AA,1686,ORD,647,7.5,105,-3
2,8,6,OO,5561,SFO,262,9.58,79,-1
5,24,2,AA,2361,ORD,802,21.83,129,19
8,17,3,UA,594,ORD,606,6.72,117,-13
4,29,4,B6,83,JFK,2421,20.58,380,-5
3,19,6,UA,15,JFK,2586,15.75,379,53
2,24,1,WN,745,TUS,451,6.08,90,-2
11,21,0,AA,15,JFK,2586,10.83,390,38
7,26,2,WN,541,SMF,389,21.83,75,-7
4,27,2,AA,1998,SJC,1438,11.08,205,37
9,14,2,US,1233,LGA,544,11.25,128,-3
3,22,2,UA,683,LGA,733,14,150,-14
10,22,6,OO,5563,SMF,86,8.58,50,273
4,1,4,US,425,SJC,621,12.53,113,4
1,24,0,UA,950,ORD,589,13.17,111,62
6,9,3,AA,39,SFO,2398,8.92,320,-22
9,25,6,B6,146,JFK,301,13.17,80,0
10,26,3,HA,515,OGG,100,22.73,34,-12
8,29,1,AA,2441,ORD,606,6.58,115,42
0,31,4,AA,1487,ORD,1671,10,250,59
11,9,2,US,774,SFO,2296,7.5,277,30
2,15,6,AA,1722,ORD,258,13.17,70,-13
0,16,3,AA,368,ORD,733,13.42,125,3
3,15,2,AA,1763,ORD,1726,16.58,260,-3
8,6,6,OO,6729,ORD,760,10.38,127,NA
2,27,4,AA,335,ORD,258,17,70,152
0,18,5,WN,1471,SFO,1855,11.92,240,16
7,10,0,OH,5621,JFK,184,20,102,NA
4,11,0,UA,888,SFO,337,11.5,86,-8
6,24,4,WN,3748,SJC,342,10.58,80,-5
9,16,4,OO,5567,SFO,158,16.88,66,-12
5,8,0,UA,912,ORD,473,16.2,97,159
3,1,2,UA,683,LGA,733,14,150,222
4,30,5,OO,6387,SFO,421,22.33,83,45
8,11,4,WN,1120,SJC,621,6.58,105,-5
2,30,0,OH,5440,JFK,106,18.5,88,-23
6,10,4,AA,1659,ORD,403,21.17,80,NA
0,23,3,UA,635,ORD,416,8.7,89,-9
8,9,2,WN,1011,SJC,308,17.42,75,-8
4,10,6,UA,75,SFO,2398,12.75,317,-15
0,5,6,OO,5561,SFO,262,9.67,78,220
7,27,3,UA,143,ORD,1846,11.57,267,-11
5,6,5,OO,5902,ORD,738,17.78,133,NA
6,22,2,OH,5743,LGA,722,9.17,159,21
3,14,1,WN,177,SJC,308,17.92,70,-5
9,29,3,WN,1784,SJC,386,16.33,85,0
6,29,2,OO,5499,SFO,250,6.97,81,-25
6,20,0,WN,2375,SJC,296,14.08,60,NA
5,11,3,HA,335,OGG,100,16.25,34,17
9,17,5,OO,5566,SFO,158,11.67,66,-12
1,10,0,UA,29,JFK,2475,19,393,41
3,19,6,OO,5867,ORD,1041,19.92,171,-23
6,8,2,AA,1544,ORD,612,18.17,110,20
0,18,5,UA,562,SFO,550,13.3,105,-1
6,30,3,OO,6356,SFO,599,21.25,103,NA
3,6,0,AA,1540,TUS,813,14.5,130,-12
6,16,3,OO,5443,SFO,329,15.92,93,90
1,22,5,OO,5985,ORD,323,19.83,79,NA
11,8,1,OH,6758,JFK,187,14.08,81,-12
4,6,2,AA,345,LGA,733,17.5,160,35
1,2,6,AA,1306,SFO,1464,6.92,210,-3
